TeamId,TeamName,SubmissionDate,Score
1264126,"Chris Cross","2018-01-16 14:11:29",0.000
1264170,ironbleu,"2018-01-16 14:15:52",0.000
1264209,kamil,"2018-01-16 14:24:49",0.000
1264233,"Nastika Vidwan","2018-01-16 14:27:14",0.000
1264244,AngMingliang,"2018-01-16 14:27:26",0.000
1264289,"Marco Lugo","2018-01-16 14:38:47",0.000
1264186,ZFTurbo,"2018-01-16 14:44:48",0.000
1264293,MykolaSharhan,"2018-01-16 14:46:25",0.000
1264456,"Gokagglers ","2018-01-16 16:00:14",0.000
1264602,TeraFlops,"2018-01-16 16:18:46",0.000
1264629,"Ravi Kumar Vadapalli","2018-01-16 17:02:52",0.000
1264821,VinodRai,"2018-01-16 17:22:23",0.000
1264746,IIST_MLians,"2018-01-16 17:44:22",0.000
1264632,"Yuanfang Guan and Wei Dong","2018-01-16 17:47:25",0.000
1264945,NxGTR,"2018-01-16 18:08:49",0.000
1264632,"Yuanfang Guan and Wei Dong","2018-01-16 18:26:22",0.000
1265007,"林湧森 (Dyson Lin)","2018-01-16 18:32:09",0.000
1265020,"Bojan Tunguz","2018-01-16 18:42:11",0.000
1275734,"BAH NA^2","2018-01-16 18:45:30",0.000
1265055,aaronyal,"2018-01-16 18:59:13",0.000
1264860,Chelus,"2018-01-16 19:09:04",0.000
1264902,FrankCipollone,"2018-01-16 20:08:33",0.000
1265110,"Anirudh K","2018-01-16 20:18:43",0.000
1265332,ManaswiVeligatla,"2018-01-16 20:26:51",0.000
1264966,"Dennis Svedberg","2018-01-16 21:04:38",0.000
1265481,Damodar,"2018-01-16 21:22:08",0.000
1265433,"Get Schwifty","2018-01-16 21:25:33",0.000
1264933,"Kjetil Åmdal-Sævik","2018-01-16 21:35:13",0.000
1265517,"xiao ","2018-01-16 21:36:07",0.000
1265056,CVxTz,"2018-01-16 21:52:59",0.000
1265585,gavrand,"2018-01-16 21:54:45",0.000
1264902,FrankCipollone,"2018-01-16 22:07:15",0.002
1265056,CVxTz,"2018-01-16 22:38:08",0.236
1265735,"Pavel Pleskov","2018-01-16 22:53:48",0.000
1264933,"Kjetil Åmdal-Sævik","2018-01-16 23:09:23",0.233
1265020,"Bojan Tunguz","2018-01-16 23:23:34",0.233
1265056,CVxTz,"2018-01-16 23:29:46",0.244
1265227,"Jasmeet Bhatia","2018-01-16 23:44:17",0.081
1265056,CVxTz,"2018-01-17 00:03:21",0.301
1264945,NxGTR,"2018-01-17 00:08:20",0.215
1266181,"Universal Entropy","2018-01-17 00:16:27",0.000
1266195,yhlee,"2018-01-17 00:16:31",0.144
1264860,Chelus,"2018-01-17 00:17:55",0.074
1264136,x2,"2018-01-17 00:19:08",0.195
1266211,"Lawrence Chernin","2018-01-17 00:22:20",0.144
1265967,DSV,"2018-01-17 00:26:41",0.000
1264136,x2,"2018-01-17 00:28:12",0.195
1266161,skthetwo,"2018-01-17 00:29:22",0.202
1265800,huiqin,"2018-01-17 00:33:47",0.205
1265020,"Bojan Tunguz","2018-01-17 00:45:33",0.283
1265020,"Bojan Tunguz","2018-01-17 00:51:40",0.283
1265800,huiqin,"2018-01-17 00:53:52",0.277
1266040,AR88,"2018-01-17 00:58:09",0.242
1266348,"Mitch Quinn","2018-01-17 01:18:36",0.204
1265517,"xiao ","2018-01-17 01:18:50",0.144
1265517,"xiao ","2018-01-17 01:22:41",0.232
1266554,vanAmsen,"2018-01-17 01:23:32",0.000
1265481,Damodar,"2018-01-17 01:27:21",0.226
1265800,huiqin,"2018-01-17 01:43:03",0.301
1266747,notFooledByRandomness,"2018-01-17 02:02:30",0.000
1264244,AngMingliang,"2018-01-17 02:03:11",0.144
1266768,clustifier,"2018-01-17 02:05:24",0.261
1266087,"Paul Solomon","2018-01-17 02:07:57",0.207
1266430,"that was dramatic","2018-01-17 02:16:03",0.244
1266695,Ibon,"2018-01-17 02:21:19",0.000
1266045,"Chris Halfacre","2018-01-17 02:30:35",0.131
1266667,JordanLui,"2018-01-17 02:32:02",0.166
1266943,Li-Der,"2018-01-17 02:39:51",0.000
1264198,"preeth kumar","2018-01-17 02:41:04",0.196
1266798,"Somshubra Majumdar","2018-01-17 02:55:48",0.239
1264220,"Abdullah Karimi","2018-01-17 02:57:03",0.232
1272320,Hefesto-,"2018-01-17 03:02:55",0.255
1265095,"Alex Cadrin / James Requa","2018-01-17 03:03:10",0.249
1275734,"BAH NA^2","2018-01-17 03:05:50",0.002
1264198,"preeth kumar","2018-01-17 03:09:48",0.224
1272320,Hefesto-,"2018-01-17 03:10:05",0.266
